,Location,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
0,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1,2.0,,Serviced Residence (Intermediate),Land area : 775 sq. ft.,Fully Furnished
1,"Kepong, Kuala Lumpur",,3.0,,2-sty Terrace/Link House,Land area : 20x70 sq. ft.,Partly Furnished
2,"Kepong, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,109 sq. ft.",Partly Furnished
3,"Sunway SPK, Kuala Lumpur",5+1,5.0,,2.5-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished
4,"Brickfields, Kuala Lumpur",2+2,2.0,,Serviced Residence (Intermediate),Built-up : 898 sq. ft.,Fully Furnished
5,"Pantai, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,207 sq. ft.",
6,"Setapak, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),Land area : 1169 sq. ft.,Fully Furnished
7,"Jalan Sultan Ismail, Kuala Lumpur",2,2.0,1.0,Serviced Residence,"Built-up : 1,120 sq. ft.",Partly Furnished
8,"Bangsar, Kuala Lumpur",2,2.0,1.0,Serviced Residence (Corner),Built-up : 980 sq. ft.,Fully Furnished
9,"Sri Petaling, Kuala Lumpur",2+1,2.0,1.0,2-sty Terrace/Link House,Land area : 14x60 sq. ft.,Unfurnished
10,"Setapak, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,550 sq. ft.",Partly Furnished
11,"Bangsar, Kuala Lumpur",3+1,4.0,,Condominium (Corner),"Built-up : 2,572 sq. ft.",Partly Furnished
12,"Jalan Kuching, Kuala Lumpur",4+1,4.0,2.0,Condominium (Corner),"Built-up : 2,190 sq. ft.",Fully Furnished
13,"Bandar Tasik Selatan, Kuala Lumpur",3,2.0,1.0,Apartment,Built-up : 857 sq. ft.,Unfurnished
14,"Seputeh, Kuala Lumpur",7+1,9.0,4.0,Bungalow (Intermediate),Land area : 6800 sq. ft.,Partly Furnished
15,"Batu Caves, Kuala Lumpur",3,2.0,,Condominium,"Built-up : 1,130 sq. ft.",Partly Furnished
16,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",4,3.0,2.0,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
