,Price
0,"RM 1,250,000"
1,"RM 6,800,000"
2,"RM 1,030,000"
3,
4,"RM 900,000"
5,"RM 5,350,000"
6,
7,"RM 2,600,000"
8,"RM 1,950,000"
9,"RM 385,000"
10,
11,"RM 1,680,000"
12,"RM 4,580,000"
13,
14,"RM 3,100,000"
15,"RM 9,000,000"
16,"RM 4,500,000"
17,"RM 1,780,000"
18,"RM 3,450,000"
19,"RM 1,500,000"
20,"RM 1,550,000"
21,"RM 1,500,000"
22,"RM 1,450,000"
23,"RM 490,000"
24,
25,"RM 610,000"
26,
27,"RM 1,035,880"
28,"RM 1,830,000"
29,
30,"RM 3,300,000"
31,"RM 560,000"
32,"RM 460,000"
33,
34,"RM 2,400,000"
35,"RM 2,290,710"
36,"RM 2,284,620"
37,
38,"RM 1,438,000"
39,"RM 1,720,000"
40,"RM 3,600,000"
41,"RM 4,280,000"
42,"RM 2,300,000"
43,"RM 4,200,000"
44,"RM 900,000"
45,"RM 2,700,000"
46,"RM 1,080,000"
47,"RM 1,150,000"
48,"RM 1,070,000"
49,"RM 930,000"
50,
51,"RM 780,000"
52,"RM 4,098,000"
53,
54,"RM 1,800,000"
55,"RM 3,600,000"
56,"RM 2,300,000"
57,
58,"RM 4,000,000"
59,"RM 4,800,000"
60,"RM 3,780,000"
61,
62,"RM 850,000"
63,"RM 1,850,000"
64,"RM 1,698,800"
65,"RM 999,000"
66,"RM 3,500,000"
67,"RM 1,500,000"
68,"RM 2,300,000"
69,"RM 1,830,000"
70,"RM 750,000"
71,"RM 580,000"
72,"RM 3,000,000"
73,"RM 2,180,000"
74,
75,"RM 2,030,000"
76,"RM 3,450,000"
77,
78,"RM 4,080,000"
79,"RM 2,880,000"
80,"RM 1,799,000"
81,
82,"RM 1,820,000"
83,"RM 1,000,000"
84,"RM 1,650,000"
85,
86,"RM 2,300,000"
87,"RM 2,400,000"
88,"RM 2,055,000"
89,"RM 1,714,000"
90,"RM 620,000"
91,"RM 1,720,000"
92,"RM 2,300,000"
93,"RM 920,000"
94,"RM 2,300,000"
95,"RM 4,995,000"
96,"RM 1,630,000"
97,"RM 1,850,000"
98,
99,"RM 1,783,000"
100,"RM 1,180,000"
101,
102,"RM 900,000"
103,"RM 1,700,000"
104,"RM 850,000"
105,
106,"RM 6,800,000"
107,"RM 3,100,000"
108,"RM 630,000"
109,
110,"RM 2,040,000"
111,"RM 1,780,000"
112,"RM 2,850,000"
113,"RM 1,050,000"
114,"RM 2,600,000"
115,"RM 630,000"
116,"RM 3,364,000"
117,"RM 978,000"
118,"RM 3,600,000"
119,"RM 3,600,000"
120,"RM 2,000,000"
121,"RM 1,630,000"
122,
123,"RM 1,280,000"
124,"RM 1,250,000"
125,
126,"RM 630,000"
127,"RM 1,350,000"
128,"RM 490,000"
129,
130,"RM 800,000"
131,"RM 1,980,000"
132,"RM 1,035,000"
133,
134,"RM 1,000,000"
135,"RM 448,800"
136,"RM 4,900,000"
137,"RM 2,480,000"
138,"RM 2,716,000"
139,"RM 1,480,000"
140,"RM 9,500,000"
141,"RM 8,343,600"
